Chellie Pingree,Democratic,Maine,1,chelliepingree,Official
Jared Golden,Democratic,Maine,2,RepGolden,Official
Andrew P. Harris,Republican,Maryland,1,Missing,Missing
Dutch Ruppersberger,Democratic,Maryland,2,GoDutchForMD,Campaign
John Sarbanes,Democratic,Maryland,3,JohnSarbanes,Campaign
Anthony G. Brown,Democratic,Maryland,4,RepAnthonyBrown,Official
Steny Hoyer,Democratic,Maryland,5,StenyHoyer,Campaign
David Trone,Democratic,Maryland,6,repdavidtrone,Official
Kweisi Mfume,Democratic,Maryland,7,Mfume4Congress,Campaign
Jamie Raskin,Democratic,Maryland,8,jamie_raskin,Campaign
Richard Neal,Democratic,Massachusetts,1,RepRichardNeal,Official
Jim McGovern,Democratic,Massachusetts,2,McGovernMA,Campaign
Lori Trahan,Democratic,Massachusetts,3,LoriTrahanMA,Campaign
Jake Auchincloss,Democratic,Massachusetts,4,JakeAuch,Campaign
Katherine Clark,Democratic,Massachusetts,5,KatherineClark,Campaign
Seth Moulton,Democratic,Massachusetts,6,sethmoulton,Campaign
Ayanna Pressley,Democratic,Massachusetts,7,RepPressley,Official
Stephen F. Lynch,Democratic,Massachusetts,8,RepLynch,Campaign
Bill Keating,Democratic,Massachusetts,9,WilliamKeating,Campaign
Jack Bergman,Republican,Michigan,1,JackBergman_MI1,Campaign
Bill Huizenga,Republican,Michigan,2,RepHuizenga,Official
Peter Meijer,Republican,Michigan,3,pjfm,Personal
John Moolenaar,Republican,Michigan,4,RepMoolenaar,Official
Dan Kildee,Democratic,Michigan,5,RepDanKildee,Official
Fred Upton,Republican,Michigan,6,UptonForAllOfUs,Campaign
Tim Walberg,Republican,Michigan,7,RepWalberg,Official
Elissa Slotkin,Democratic,Michigan,8,RepSlotkin,Official
Andy Levin,Democratic,Michigan,9,repandylevin,Official
Lisa McClain,Republican,Michigan,10,LisaForCongress,Campaign
Haley Stevens,Democratic,Michigan,11,RepHaleyStevens,Official
Debbie Dingell,Democratic,Michigan,12,debdingell,Campaign
Rashida Tlaib,Democratic,Michigan,13,RashidaTlaib,Campaign
Brenda Lawrence,Democratic,Michigan,14,BrendaLLawrence,Campaign
Jim Hagedorn,Republican,Minnesota,1,JimHagedornMN,Campaign
Angie Craig,Democratic,Minnesota,2,RepAngieCraig,Official
Dean Phillips,Democratic,Minnesota,3,deanbphillips,Campaign
Betty McCollum,Democratic,Minnesota,4,BettyMcCollum04,Official
Ilhan Omar,Democratic,Minnesota,5,IlhanMN,Campaign
Tom Emmer,Republican,Minnesota,6,tomemmer,Campaign
Michelle Fischbach,Republican,Minnesota,7,FischbachMN7,Campaign
Pete Stauber,Republican,Minnesota,8,PeteStauber,Campaign
Trent Kelly,Republican,Mississippi,1,reptrentkelly,Official
Bennie Thompson,Democratic,Mississippi,2,BennieGThompson,Official
Michael Guest,Republican,Mississippi,3,RepMichaelGuest,Official
Steven Palazzo,Republican,Mississippi,4,CongPalazzo,Official
Cori Bush,Democratic,Missouri,1,RepCori,Official
Ann Wagner,Republican,Missouri,2,AnnLWagner,Campaign
Blaine Luetkemeyer,Republican,Missouri,3,luetkemeyerb,Campaign
Vicky Hartzler,Republican,Missouri,4,VickyHartzlerMO,Campaign
Emanuel Cleaver,Democratic,Missouri,5,Vote4Cleaver,Campaign
Sam Graves,Republican,Missouri,6,RepSamGraves,Official
Billy Long,Republican,Missouri,7,auctnr1,Campaign
Jason Smith,Republican,Missouri,8,RepJasonSmith,Official
Matt Rosendale,Republican,Montana,1,RepRosendale,Official
Jeff Fortenberry,Republican,Nebraska,1,supportfotNE,Campaign
Don Bacon,Republican,Nebraska,2,DonJBacon,Campaign
Adrian Smith,Republican,Nebraska,3,RepAdrianSmith,Official
Dina Titus,Democratic,Nevada,1,repdinatitus,Official
Mark Amodei,Republican,Nevada,2,markamodeinv2,Official
Susie Lee,Democratic,Nevada,3,RepSusieLee,Official
Steven Horsford,Democratic,Nevada,4,RepHorsford,Official
Chris Pappas,Democratic,New Hampshire,1,ChrisPappasNH,Campaign
Ann McLane Kuster,Democratic,New Hampshire,2,AnnMcLaneKuster,Campaign
Donald Norcross,Democratic,New Jersey,1,DonNorcross4NJ,Campaign
Jeff Van Drew,Republican,New Jersey,2,VanDrewForNJ,Campaign
Andy Kim,Democratic,New Jersey,3,Missing,Missing
Chris Smith,Republican,New Jersey,4,None,None
Josh Gottheimer,Democratic,New Jersey,5,RepJoshG,Official
Frank Pallone,Democratic,New Jersey,6,pallonefornj,Campaign
Tom Malinowski,Democratic,New Jersey,7,RepMalinowski,Official
Albio Sires,Democratic,New Jersey,8,AlbioSiresNJ,Campaign
Bill Pascrell,Democratic,New Jersey,9,pascrellfornj,Campaign
Donald Payne Jr.,Democratic,New Jersey,10,RepDonaldPayne,Official
Mikie Sherrill,Democratic,New Jersey,11,RepSherrill,Official
Bonnie Watson Coleman,Democratic,New Jersey,12,Bonnie4Congress,Campaign
Deb Haaland,Democratic,New Mexico,1,Missing,Missing
Yvette Herrell,Republican,New Mexico,2,RepHerrell,Official
Teresa Leger Fernandez,Democratic,New Mexico,3,TeresaForNM,Campaign
Lee Zeldin,Republican,New York,1,leezeldin,Campaign
Andrew Garbarino,Republican,New York,2,GarbarinoforNY,Campaign
Thomas Suozzi,Democratic,New York,3,Missing,Missing
Kathleen Rice,Democratic,New York,4,KathleenRice,Campaign
Gregory Meeks,Democratic,New York,5,GregMeeksNYC,Campaign
Grace Meng,Democratic,New York,6,grace4ny,Campaign
Nydia Velázquez,Democratic,New York,7,ReElectNydia,Campaign
Hakeem Jeffries,Democratic,New York,8,hakeem_jeffries,Campaign
Yvette Clarke,Democratic,New York,9,VoteYvette,Campaign
Jerry Nadler,Democratic,New York,10,RepJerryNadler,Official
Nicole Malliotakis,Republican,New York,11,NMalliotakis,Campaign
Carolyn Maloney,Democratic,New York,12,CarolynBMaloney,Campaign
Adriano Espaillat,Democratic,New York,13,EspaillatNY,Campaign
Alexandria Ocasio-Cortez,Democratic,New York,14,AOC,Campaign
Ritchie Torres,Democratic,New York,15,RitchieTorres,Personal
Jamaal Bowman,Democratic,New York,16,JamaalBowmanNY,Campaign
Mondaire Jones,Democratic,New York,17,MondaireJones,Campaign
Sean Patrick Maloney,Democratic,New York,18,spmaloney,Campaign
Antonio Delgado,Democratic,New York,19,DelgadoforNY19,Campaign
Paul Tonko,Democratic,New York,20,PaulTonko,Campaign
Elise Stefanik,Republican,New York,21,EliseStefanik,Campaign
Claudia Tenney,Republican,New York,22,RepTenney,Official
Tom Reed,Republican,New York,23,TomReedCongress,Campaign
John Katko,Republican,New York,24,RepJohnKatko,Official
Joseph Morelle,Democratic,New York,25,votemorelle,Campaign
Brian Higgins,Democratic,New York,26,Higgins4WNY,Campaign
Chris Jacobs,Republican,New York,27,Missing,Missing
G. K. Butterfield,Democratic,North Carolina,1,GKButterfield,Official
Deborah K. Ross,Democratic,North Carolina,2,DeborahRossNC,Campaign
Greg Murphy,Republican,North Carolina,3,GregMurphyMD,Campaign
David Price,Democratic,North Carolina,4,RepDavidEPrice,Official
Virginia Foxx,Republican,North Carolina,5,foxxforcongress,Campaign
Kathy Manning,Democratic,North Carolina,6,KathyManningNC,Campaign
David Rouzer,Republican,North Carolina,7,DavidRouzer,Campaign
Richard Hudson,Republican,North Carolina,8,RepRichHudson,Campaign
Dan Bishop,Republican,North Carolina,9,jdanbishop,Campaign
Patrick McHenry,Republican,North Carolina,10,McHenryCampaign,Campaign
Madison Cawthorn,Republican,North Carolina,11,CawthornforNC,Campaign
Alma Adams,Democratic,North Carolina,12,AlmaforCongress,Campaign
Ted Budd,Republican,North Carolina,13,TedBuddNC,Campaign
Kelly Armstrong,Republican,North Dakota,1,Armstrong_ND,Campaign
Steve Chabot,Republican,Ohio,1,SteveChabot,Campaign
